Symbol,Description

GLD,SPDR Physical Gold
SLV,iShares Physical Silver 
GDX,VanEck Large Cap Gold Miners
GDXJ,VanEck Small-Mid Cap Gold Miners
SIL,Global X Silver Miners

XLE,Energy Select Sector SPDR — large-cap US integrated energy and E&P
XOP,SPDR S&P Oil & Gas E&P — equal-weight US exploration and production
OIH,VanEck Oil Services — oilfield services and drilling equities
USO,United States Oil Fund — front-month WTI crude futures (roll exposure)
UNG,United States Natural Gas Fund — front-month Henry Hub futures (roll exposure)

SHY,iShares 1-3 Year Treasury — short-duration US Treasuries
IEF,iShares 7-10 Year Treasury — intermediate-duration US Treasuries
TLT,iShares 20+ Year Treasury — long-duration US Treasuries
TIP,iShares TIPS Bond — inflation-protected US Treasuries

LQD,iShares iBoxx Investment Grade Corporate Bond — IG credit
HYG,iShares iBoxx High Yield Corporate Bond — HY credit
JNK,SPDR Bloomberg High Yield Bond — HY credit (HYG alternative)
EMB,iShares JP Morgan USD Emerging Markets Bond — USD-denominated EM sovereign debt

XLF,Financial Select Sector SPDR
KRE,SPDR S&P Regional Banking
XLP,Consumer Staples Select Sector SPDR
XLU,Utilities Select Sector SPDR
XLK,Technology Select Sector SPDR
XLI,Industrial Select Sector SPDR
XLV,Health Care Select Sector SPDR
XLY,Consumer Discretionary Select Sector SPDR

SPY,SPDR S&P 500
IWM,iShares Russell 2000
QQQ,Invesco QQQ — Nasdaq-100

EWA,iShares MSCI Australia — Australian equities (USD-translated)
EWC,iShares MSCI Canada — Canadian equities (USD-translated)
FXI,iShares China Large-Cap — Chinese large-caps listed in Hong Kong
EWH,iShares MSCI Hong Kong — Hong Kong domestic equities
EWJ,iShares MSCI Japan — Japanese equities (USD-translated)
EWZ,iShares MSCI Brazil — Brazilian equities (USD-translated)

UUP,US Dollar Index Bullish — long DXY basket via futures
FXE,Euro — EUR deposit account
FXB,British Pound — GBP deposit account
FXA,Australian Dollar — AUD deposit account
FXC,Canadian Dollar — CAD deposit account
FXY,Japanese Yen — JPY deposit account
FXF,Swiss Franc — CHF deposit account
